"MetWatch hourly weather data for Kumeu, Auckland"
Date,Time,"Air Temp. (°C)","Rainfall (mm)","Leaf Wetness (%)","Relative Humidity (%)","Wind Speed (km/h)","Wind Direction","Spray Drift Risk","Backup Data","Missing Data"
"Sun 1st Jan 2017","12 - 1am",12.2,0.0,89.6,95.5,0.0,N,"Not Recommended",,
"Sun 1st Jan 2017","1 - 2am",12.1,0.0,89.3,96.9,0.0,N,"Not Recommended",,
"Sun 1st Jan 2017","2 - 3am",12.0,0.0,89.2,97.7,0.0,N,"Not Recommended",,
"Sun 1st Jan 2017","3 - 4am",12.0,0.0,89.4,98.1,0.0,N,"Not Recommended",,
"Sun 1st Jan 2017","4 - 5am",10.9,0.0,87.3,98.5,0.0,N,"Not Recommended",,
"Sun 1st Jan 2017","5 - 6am",10.1,0.0,88.7,99.1,0.0,N,"Not Recommended",,
"Sun 1st Jan 2017","6 - 7am",10.8,0.0,91.1,99.3,0.0,N,"Not Recommended",,
"Sun 1st Jan 2017","7 - 8am",12.6,0.0,93.3,99.1,0.0,N,"Not Recommended",,
"Sun 1st Jan 2017","8 - 9am",17.5,0.0,46.2,90.5,2.3,W,"Not Recommended",,
"Sun 1st Jan 2017","9 - 10am",20.4,0.0,0.2,75.1,5.8,W,"Best Conditions",,
"Sun 1st Jan 2017","10 - 11am",21.1,0.0,0.2,69.8,6.5,W,"Best Conditions",,
"Sun 1st Jan 2017","11 - 12pm",22.0,0.0,0.2,63.6,11.3,W,"Best Conditions",,
"Sun 1st Jan 2017","12 - 1pm",22.7,0.0,0.2,58.1,13.6,W,"Best Conditions",,
"Sun 1st Jan 2017","1 - 2pm",21.2,0.0,0.1,63.8,11.5,W,"Best Conditions",,
"Sun 1st Jan 2017","2 - 3pm",21.7,0.0,0.2,64.6,10.8,W,"Best Conditions",,
"Sun 1st Jan 2017","3 - 4pm",22.1,0.0,0.2,62.4,13.2,SW,"Best Conditions",,
"Sun 1st Jan 2017","4 - 5pm",22.6,0.0,0.2,59.7,14.2,SW,"Best Conditions",,
"Sun 1st Jan 2017","5 - 6pm",22.3,0.0,0.2,57.1,12.5,SW,"Best Conditions",,
"Sun 1st Jan 2017","6 - 7pm",22.5,0.0,0.2,53.9,10.4,W,"Best Conditions",,
"Sun 1st Jan 2017","7 - 8pm",21.3,0.0,0.2,59.3,10.5,SW,"Best Conditions",,
"Sun 1st Jan 2017","8 - 9pm",19.1,0.0,0.4,73.8,4.4,W,"Best Conditions",,
"Sun 1st Jan 2017","9 - 10pm",16.9,0.0,30.3,85.6,0.2,NW,"Not Recommended",,
"Sun 1st Jan 2017","10 - 11pm",16.2,0.0,86.0,90.0,0.0,NW,"Not Recommended",,
"Sun 1st Jan 2017","11 - 12am",15.1,0.0,91.2,93.6,0.0,N,"Not Recommended",,
"Mon 2nd Jan 2017","12 - 1am",15.1,0.0,86.8,95.7,0.0,W,"Not Recommended",,
"Mon 2nd Jan 2017","1 - 2am",14.5,0.0,85.2,97.1,0.3,SW,"Not Recommended",,
"Mon 2nd Jan 2017","2 - 3am",16.4,0.0,90.8,95.7,2.4,W,"Not Recommended",,
"Mon 2nd Jan 2017","3 - 4am",16.9,0.0,95.5,93.5,1.1,W,"Not Recommended",,
"Mon 2nd Jan 2017","4 - 5am",17.2,0.0,97.3,93.8,1.8,W,"Not Recommended",,
"Mon 2nd Jan 2017","5 - 6am",17.7,0.0,81.7,92.4,2.8,W,"Not Recommended",,
"Mon 2nd Jan 2017","6 - 7am",18.1,0.0,31.2,90.6,4.4,W,"Best Conditions",,
"Mon 2nd Jan 2017","7 - 8am",19.0,0.0,2.8,88.4,5.8,W,"Best Conditions",,
"Mon 2nd Jan 2017","8 - 9am",19.8,0.0,0.5,86.1,7.0,W,"Best Conditions",,
"Mon 2nd Jan 2017","9 - 10am",21.2,0.0,0.2,81.3,7.7,W,"Best Conditions",,
"Mon 2nd Jan 2017","10 - 11am",22.7,0.0,0.2,76.7,12.1,W,"Best Conditions",,
"Mon 2nd Jan 2017","11 - 12pm",23.6,0.0,0.1,72.2,13.7,W,"Best Conditions",,
"Mon 2nd Jan 2017","12 - 1pm",22.6,0.0,0.2,77.3,15.6,W,"Extreme Caution",,
"Mon 2nd Jan 2017","1 - 2pm",21.1,0.8,61.3,87.2,12.5,W,"Not Recommended",,
"Mon 2nd Jan 2017","2 - 3pm",20.6,0.4,87.6,95.0,8.9,W,"Not Recommended",,
"Mon 2nd Jan 2017","3 - 4pm",20.8,0.0,25.2,93.1,9.8,W,"Best Conditions",,
"Mon 2nd Jan 2017","4 - 5pm",20.1,0.4,98.9,95.9,8.2,W,"Not Recommended",,
"Mon 2nd Jan 2017","5 - 6pm",19.8,0.2,98.1,97.1,9.2,W,"Not Recommended",,
"Mon 2nd Jan 2017","6 - 7pm",19.7,0.4,98.0,98.0,6.2,W,"Not Recommended",,
"Mon 2nd Jan 2017","7 - 8pm",19.5,0.2,98.8,98.4,6.2,W,"Not Recommended",,
"Mon 2nd Jan 2017","8 - 9pm",19.3,0.0,99.4,98.8,4.5,W,"Best Conditions",,
"Mon 2nd Jan 2017","9 - 10pm",19.3,0.0,99.4,99.1,3.2,W,"Best Conditions",,
"Mon 2nd Jan 2017","10 - 11pm",19.3,0.0,99.5,99.3,2.9,W,"Not Recommended",,
"Mon 2nd Jan 2017","11 - 12am",-,0.0,99.2,99.3,2.5,W,,,Some
"Tue 3rd Jan 2017","12 - 1am",19.2,0.0,98.6,98.7,1.9,W,"Not Recommended",,
"Tue 3rd Jan 2017","1 - 2am",19.0,0.0,95.7,97.9,2.4,W,"Not Recommended",,
"Tue 3rd Jan 2017","2 - 3am",18.9,0.0,74.9,97.4,1.4,W,"Not Recommended",,
"Tue 3rd Jan 2017","3 - 4am",18.6,0.0,73.3,97.3,0.2,W,"Not Recommended",,
"Tue 3rd Jan 2017","4 - 5am",18.6,0.0,80.4,97.7,0.0,NW,"Not Recommended",,
"Tue 3rd Jan 2017","5 - 6am",18.7,0.0,81.7,98.1,0.0,W,"Not Recommended",,
"Tue 3rd Jan 2017","6 - 7am",19.2,0.0,94.6,98.5,0.9,NW,"Not Recommended",,
"Tue 3rd Jan 2017","7 - 8am",19.7,0.4,99.4,98.9,2.6,W,"Not Recommended",,
"Tue 3rd Jan 2017","8 - 9am",19.7,3.8,96.4,98.9,4.1,W,"Not Recommended",,
"Tue 3rd Jan 2017","9 - 10am",19.9,0.0,56.7,97.7,8.6,W,"Best Conditions",,
"Tue 3rd Jan 2017","10 - 11am",21.4,0.0,0.3,89.1,11.0,W,"Best Conditions",,
"Tue 3rd Jan 2017","11 - 12pm",23.2,0.0,0.1,79.0,14.1,W,"Best Conditions",,
"Tue 3rd Jan 2017","12 - 1pm",22.6,0.0,0.1,79.5,14.0,W,"Best Conditions",,
"Tue 3rd Jan 2017","1 - 2pm",22.4,0.0,0.1,77.6,16.5,W,"Extreme Caution",,
"Tue 3rd Jan 2017","2 - 3pm",22.4,0.0,0.1,78.6,13.8,W,"Best Conditions",,
"Tue 3rd Jan 2017","3 - 4pm",22.6,0.0,0.1,74.7,14.6,W,"Best Conditions",,
"Tue 3rd Jan 2017","4 - 5pm",21.4,0.0,0.2,79.7,15.4,W,"Extreme Caution",,
"Tue 3rd Jan 2017","5 - 6pm",20.5,0.0,24.6,86.5,14.6,W,"Best Conditions",,
