"MetWatch hourly weather data for Kumeu, Auckland"
Date,Time,"Air Temp. (°C)","Rainfall (mm)","Leaf Wetness (%)","Relative Humidity (%)","Wind Speed (km/h)","Wind Direction","Spray Drift Risk","Backup Data","Missing Data"
"Tue 1st Jan 2019","12 - 1am",18.5,0.0,24.1,91.3,3.1,SW,"Best Conditions",,
"Tue 1st Jan 2019","1 - 2am",18.0,0.0,59.4,93.0,0.9,SW,"Not Recommended",,
"Tue 1st Jan 2019","2 - 3am",18.2,0.0,37.6,93.4,2.4,SW,"Not Recommended",,
"Tue 1st Jan 2019","3 - 4am",18.4,0.0,28.2,93.5,2.1,SW,"Not Recommended",,
"Tue 1st Jan 2019","4 - 5am",18.4,0.0,22.8,93.0,3.2,SW,"Best Conditions",,
"Tue 1st Jan 2019","5 - 6am",17.8,0.0,66.2,93.0,0.6,SW,"Not Recommended",,
"Tue 1st Jan 2019","6 - 7am",17.0,0.0,93.9,96.0,0.1,SW,"Not Recommended",,
"Tue 1st Jan 2019","7 - 8am",18.8,0.0,2.2,91.5,2.0,SW,"Not Recommended",,
"Tue 1st Jan 2019","8 - 9am",19.7,0.0,0.8,87.6,3.6,SW,"Best Conditions",,
"Tue 1st Jan 2019","9 - 10am",20.2,0.0,0.6,85.9,7.4,SW,"Best Conditions",,
"Tue 1st Jan 2019","10 - 11am",21.1,0.0,0.3,84.1,9.4,SW,"Best Conditions",,
"Tue 1st Jan 2019","11 - 12pm",21.4,0.0,0.2,81.7,9.8,SW,"Best Conditions",,
"Tue 1st Jan 2019","12 - 1pm",21.2,0.0,0.2,83.0,10.8,SW,"Best Conditions",,
"Tue 1st Jan 2019","1 - 2pm",20.6,0.0,9.1,86.8,10.9,SW,"Best Conditions",,
"Tue 1st Jan 2019","2 - 3pm",21.4,0.0,0.3,81.8,11.3,SW,"Best Conditions",,
"Tue 1st Jan 2019","3 - 4pm",20.9,0.0,0.4,84.3,11.3,SW,"Best Conditions",,
"Tue 1st Jan 2019","4 - 5pm",20.8,0.0,0.4,84.8,10.9,SW,"Best Conditions",,
"Tue 1st Jan 2019","5 - 6pm",20.4,0.0,0.7,85.3,11.0,SW,"Best Conditions",,
"Tue 1st Jan 2019","6 - 7pm",20.1,0.0,1.0,86.6,10.8,SW,"Best Conditions",,
"Tue 1st Jan 2019","7 - 8pm",19.7,0.0,1.1,86.0,10.3,SW,"Best Conditions",,
"Tue 1st Jan 2019","8 - 9pm",19.4,0.0,1.3,87.3,6.5,SW,"Best Conditions",,
"Tue 1st Jan 2019","9 - 10pm",19.0,0.0,2.4,88.5,5.0,SW,"Best Conditions",,
"Tue 1st Jan 2019","10 - 11pm",18.9,0.0,2.7,88.2,1.6,SW,"Not Recommended",,
"Tue 1st Jan 2019","11 - 12am",19.2,0.0,2.3,87.9,4.4,SW,"Best Conditions",,
