"MetWatch hourly weather data for Kumeu, Auckland"
Date,Time,"Air Temp. (°C)","Rainfall (mm)","Leaf Wetness (%)","Relative Humidity (%)","Wind Speed (km/h)","Wind Direction","Spray Drift Risk","Backup Data","Missing Data"
"Mon 1st Jan 2018","12 - 1am",17.3,0.0,98.5,91.5,0.0,N,"Not Recommended",,
"Mon 1st Jan 2018","1 - 2am",17.0,0.0,96.2,92.1,0.0,N,"Not Recommended",,
"Mon 1st Jan 2018","2 - 3am",16.6,0.0,94.2,93.3,0.0,N,"Not Recommended",,
"Mon 1st Jan 2018","3 - 4am",16.4,0.0,88.2,93.9,0.0,N,"Not Recommended",,
"Mon 1st Jan 2018","4 - 5am",16.4,0.0,70.0,-,0.0,N,,,Some
"Mon 1st Jan 2018","5 - 6am",16.4,0.0,86.1,93.2,0.0,N,"Not Recommended",,
"Mon 1st Jan 2018","6 - 7am",16.2,0.0,87.8,95.2,0.0,N,"Not Recommended",,
"Mon 1st Jan 2018","7 - 8am",18.6,0.0,3.8,86.3,0.0,N,"Not Recommended",,
"Mon 1st Jan 2018","8 - 9am",20.3,0.0,19.2,77.6,1.3,NE,"Not Recommended",,
"Mon 1st Jan 2018","9 - 10am",21.1,0.0,0.5,76.5,3.6,NE,"Best Conditions",,
"Mon 1st Jan 2018","10 - 11am",24.0,0.0,0.2,68.0,6.0,NW,"Best Conditions",,
"Mon 1st Jan 2018","11 - 12pm",25.3,0.0,0.1,61.6,7.6,NW,"Best Conditions",,
"Mon 1st Jan 2018","12 - 1pm",24.9,0.0,0.6,62.3,7.6,W,"Best Conditions",,
"Mon 1st Jan 2018","1 - 2pm",25.3,0.0,7.6,63.8,7.8,W,"Best Conditions",,
"Mon 1st Jan 2018","2 - 3pm",22.8,0.2,53.0,82.4,4.9,NW,"Not Recommended",,
"Mon 1st Jan 2018","3 - 4pm",22.8,0.0,7.2,80.9,5.6,NE,"Best Conditions",,
"Mon 1st Jan 2018","4 - 5pm",21.5,0.0,19.4,88.5,7.5,NE,"Best Conditions",,
"Mon 1st Jan 2018","5 - 6pm",21.5,0.2,9.3,87.0,8.2,NE,"Not Recommended",,
"Mon 1st Jan 2018","6 - 7pm",20.8,0.0,17.9,91.5,7.1,NE,"Best Conditions",,
"Mon 1st Jan 2018","7 - 8pm",20.6,0.0,93.1,93.3,6.6,NE,"Best Conditions",,
"Mon 1st Jan 2018","8 - 9pm",19.7,0.0,91.6,94.8,2.4,NE,"Not Recommended",,
"Mon 1st Jan 2018","9 - 10pm",18.8,0.0,97.3,96.9,0.0,N,"Not Recommended",,
"Mon 1st Jan 2018","10 - 11pm",18.1,0.0,97.0,98.1,0.0,N,"Not Recommended",,
"Mon 1st Jan 2018","11 - 12am",18.1,0.0,97.4,98.8,0.0,N,"Not Recommended",,
"Tue 2nd Jan 2018","12 - 1am",17.3,0.0,98.2,99.4,0.0,N,"Not Recommended",,
"Tue 2nd Jan 2018","1 - 2am",16.7,0.0,99.7,99.9,0.0,N,"Not Recommended",,
"Tue 2nd Jan 2018","2 - 3am",16.8,0.0,99.9,100.0,0.0,N,"Not Recommended",,
"Tue 2nd Jan 2018","3 - 4am",16.5,0.0,99.9,100.0,0.0,N,"Not Recommended",,
"Tue 2nd Jan 2018","4 - 5am",16.3,0.0,99.9,100.0,0.0,N,"Not Recommended",,
"Tue 2nd Jan 2018","5 - 6am",15.9,0.0,99.9,100.0,0.0,N,"Not Recommended",,
"Tue 2nd Jan 2018","6 - 7am",15.8,0.0,99.9,100.0,0.0,N,"Not Recommended",,
"Tue 2nd Jan 2018","7 - 8am",17.6,0.0,94.5,100.0,0.0,N,"Not Recommended",,
"Tue 2nd Jan 2018","8 - 9am",19.5,0.0,22.4,99.2,0.6,E,"Not Recommended",,
"Tue 2nd Jan 2018","9 - 10am",22.5,0.0,1.3,84.4,8.1,NE,"Best Conditions",,
"Tue 2nd Jan 2018","10 - 11am",21.9,5.8,18.3,85.6,8.4,NE,"Not Recommended",,
"Tue 2nd Jan 2018","11 - 12pm",20.3,10.2,74.5,95.5,3.3,E,"Not Recommended",,
"Tue 2nd Jan 2018","12 - 1pm",22.5,0.0,1.7,86.1,4.9,SW,"Best Conditions",,
"Tue 2nd Jan 2018","1 - 2pm",24.3,0.0,0.1,73.6,11.0,NE,"Best Conditions",,
"Tue 2nd Jan 2018","2 - 3pm",25.1,0.0,0.1,67.8,10.2,NE,"Best Conditions",,
"Tue 2nd Jan 2018","3 - 4pm",25.9,0.0,0.1,60.0,10.5,NE,"Best Conditions",,
"Tue 2nd Jan 2018","4 - 5pm",25.9,0.0,0.1,58.3,11.6,NE,"Best Conditions",,
"Tue 2nd Jan 2018","5 - 6pm",25.5,0.0,0.1,58.0,11.3,NE,"Best Conditions",,
"Tue 2nd Jan 2018","6 - 7pm",24.5,0.0,0.2,63.0,11.2,NE,"Best Conditions",,
"Tue 2nd Jan 2018","7 - 8pm",22.9,0.0,0.2,69.5,10.6,NE,"Best Conditions",,
"Tue 2nd Jan 2018","8 - 9pm",21.3,0.0,0.2,74.8,9.5,NE,"Best Conditions",,
"Tue 2nd Jan 2018","9 - 10pm",20.0,0.0,0.2,81.8,6.8,NE,"Best Conditions",,
"Tue 2nd Jan 2018","10 - 11pm",18.9,0.0,26.4,89.4,2.3,NE,"Not Recommended",,
"Tue 2nd Jan 2018","11 - 12am",17.9,0.0,84.3,94.1,0.3,NE,"Not Recommended",,
"Wed 3rd Jan 2018","12 - 1am",17.6,0.0,84.8,94.6,1.2,NE,"Not Recommended",,
"Wed 3rd Jan 2018","1 - 2am",16.9,0.0,91.8,96.3,0.5,NE,"Not Recommended",,
"Wed 3rd Jan 2018","2 - 3am",16.7,0.0,95.3,97.8,0.1,E,"Not Recommended",,
"Wed 3rd Jan 2018","3 - 4am",17.4,0.0,96.6,97.4,2.1,E,"Not Recommended",,
"Wed 3rd Jan 2018","4 - 5am",17.9,0.0,98.3,95.9,4.3,E,"Best Conditions",,
"Wed 3rd Jan 2018","5 - 6am",18.0,0.0,99.0,97.2,4.2,NE,"Best Conditions",,
"Wed 3rd Jan 2018","6 - 7am",18.7,0.0,62.8,94.1,3.1,E,"Best Conditions",,
"Wed 3rd Jan 2018","7 - 8am",19.8,0.0,0.3,89.7,6.8,NE,"Best Conditions",,
"Wed 3rd Jan 2018","8 - 9am",20.6,0.0,0.3,86.9,6.9,NE,"Best Conditions",,
"Wed 3rd Jan 2018","9 - 10am",21.8,0.0,0.2,81.3,7.6,NE,"Best Conditions",,
"Wed 3rd Jan 2018","10 - 11am",22.3,0.0,0.2,78.3,6.7,NE,"Best Conditions",,
"Wed 3rd Jan 2018","11 - 12pm",23.3,0.0,3.7,76.6,7.6,NE,"Best Conditions",,
"Wed 3rd Jan 2018","12 - 1pm",24.6,0.0,0.1,72.8,10.0,NE,"Best Conditions",,
"Wed 3rd Jan 2018","1 - 2pm",24.9,0.0,11.1,72.0,11.7,NE,"Best Conditions",,
"Wed 3rd Jan 2018","2 - 3pm",25.2,0.0,0.1,70.8,11.2,NE,"Best Conditions",,
"Wed 3rd Jan 2018","3 - 4pm",25.3,0.0,0.1,70.3,13.4,NE,"Best Conditions",,
"Wed 3rd Jan 2018","4 - 5pm",25.3,0.0,0.1,72.0,15.0,NE,"Best Conditions",,
"Wed 3rd Jan 2018","5 - 6pm",24.0,0.0,5.5,76.3,11.2,NE,"Best Conditions",,
"Wed 3rd Jan 2018","6 - 7pm",21.8,1.8,80.1,91.6,2.9,NE,"Not Recommended",,
"Wed 3rd Jan 2018","7 - 8pm",22.8,0.0,5.9,88.7,2.5,NE,"Not Recommended",,
"Wed 3rd Jan 2018","8 - 9pm",21.8,0.0,2.3,92.9,1.0,N,"Not Recommended",,
"Wed 3rd Jan 2018","9 - 10pm",20.8,0.0,7.9,94.6,1.0,N,"Not Recommended",,
"Wed 3rd Jan 2018","10 - 11pm",20.5,0.0,1.3,94.3,3.3,NE,"Best Conditions",,
"Wed 3rd Jan 2018","11 - 12am",20.2,0.0,48.7,94.0,2.3,NE,"Not Recommended",,
"Thu 4th Jan 2018","12 - 1am",20.2,0.0,2.1,95.5,1.1,NE,"Not Recommended",,
"Thu 4th Jan 2018","1 - 2am",20.5,0.0,0.6,96.6,3.7,NE,"Best Conditions",,
"Thu 4th Jan 2018","2 - 3am",20.6,0.0,0.5,96.0,4.4,NE,"Best Conditions",,
"Thu 4th Jan 2018","3 - 4am",20.6,0.0,0.4,95.6,3.7,NE,"Best Conditions",,
"Thu 4th Jan 2018","4 - 5am",20.5,0.0,0.4,95.1,3.6,NE,"Best Conditions",,
"Thu 4th Jan 2018","5 - 6am",20.6,0.0,39.3,95.5,4.1,NE,"Best Conditions",,
"Thu 4th Jan 2018","6 - 7am",20.8,0.0,24.0,94.9,5.4,NE,"Best Conditions",,
"Thu 4th Jan 2018","7 - 8am",21.0,0.2,78.8,95.2,7.3,NE,"Not Recommended",,
"Thu 4th Jan 2018","8 - 9am",20.9,1.2,98.9,96.3,8.6,NE,"Not Recommended",,
"Thu 4th Jan 2018","9 - 10am",20.7,0.2,98.7,96.8,10.3,NE,"Not Recommended",,
"Thu 4th Jan 2018","10 - 11am",20.9,0.4,98.8,95.5,12.1,NE,"Not Recommended",,
"Thu 4th Jan 2018","11 - 12pm",20.9,0.2,76.3,95.0,16.3,NE,"Not Recommended",,
"Thu 4th Jan 2018","12 - 1pm",20.6,1.2,98.4,96.4,17.3,NE,"Not Recommended",,
"Thu 4th Jan 2018","1 - 2pm",20.4,2.4,97.2,97.4,19.1,NE,"Not Recommended",,
"Thu 4th Jan 2018","2 - 3pm",19.7,4.8,95.1,97.1,18.6,NE,"Not Recommended",,
"Thu 4th Jan 2018","3 - 4pm",19.8,1.4,98.0,98.0,19.5,NE,"Not Recommended",,
"Thu 4th Jan 2018","4 - 5pm",20.3,1.2,98.3,99.1,8.7,NE,"Not Recommended",,
"Thu 4th Jan 2018","5 - 6pm",20.7,3.6,97.0,99.3,10.6,NE,"Not Recommended",,
"Thu 4th Jan 2018","6 - 7pm",20.5,4.2,96.5,99.5,11.7,NE,"Not Recommended",,
"Thu 4th Jan 2018","7 - 8pm",20.6,3.2,97.1,98.7,17.0,NE,"Not Recommended",,
"Thu 4th Jan 2018","8 - 9pm",20.5,2.8,98.1,98.5,17.2,NE,"Not Recommended",,
"Thu 4th Jan 2018","9 - 10pm",21.1,3.8,98.4,98.6,19.4,NE,"Not Recommended",,
"Thu 4th Jan 2018","10 - 11pm",21.6,2.2,99.2,98.1,18.0,NE,"Not Recommended",,
"Thu 4th Jan 2018","11 - 12am",21.6,3.0,97.8,98.2,15.2,NE,"Not Recommended",,
"Fri 5th Jan 2018","12 - 1am",20.9,0.2,77.3,93.9,14.2,NE,"Not Recommended",,
"Fri 5th Jan 2018","1 - 2am",20.0,0.0,5.1,92.2,12.7,N,"Best Conditions",,
"Fri 5th Jan 2018","2 - 3am",19.9,0.0,4.3,89.6,12.4,N,"Best Conditions",,
"Fri 5th Jan 2018","3 - 4am",19.8,0.0,2.2,87.2,12.3,N,"Best Conditions",,
"Fri 5th Jan 2018","4 - 5am",20.0,0.0,1.1,84.3,13.0,N,"Best Conditions",,
"Fri 5th Jan 2018","5 - 6am",19.3,0.0,69.6,88.8,10.3,N,"Best Conditions",,
"Fri 5th Jan 2018","6 - 7am",18.4,0.0,99.1,93.9,11.3,N,"Best Conditions",,
"Fri 5th Jan 2018","7 - 8am",17.9,2.2,96.4,97.1,11.0,N,"Not Recommended",,
"Fri 5th Jan 2018","8 - 9am",17.9,5.8,92.2,97.7,11.7,N,"Not Recommended",,
"Fri 5th Jan 2018","9 - 10am",18.1,9.2,86.5,98.1,11.4,N,"Not Recommended",,
"Fri 5th Jan 2018","10 - 11am",18.8,4.4,97.0,98.1,12.1,NW,"Not Recommended",,
"Fri 5th Jan 2018","11 - 12pm",19.7,1.6,83.3,98.1,11.4,NW,"Not Recommended",,
"Fri 5th Jan 2018","12 - 1pm",20.2,1.4,92.9,97.2,10.5,W,"Not Recommended",,
"Fri 5th Jan 2018","1 - 2pm",20.6,0.2,60.3,95.4,13.1,W,"Not Recommended",,
"Fri 5th Jan 2018","2 - 3pm",20.7,0.0,32.3,92.9,14.7,W,"Best Conditions",,
"Fri 5th Jan 2018","3 - 4pm",19.7,2.0,96.8,97.3,15.6,SW,"Not Recommended",,
"Fri 5th Jan 2018","4 - 5pm",19.3,1.0,95.6,98.6,17.7,SW,"Not Recommended",,
"Fri 5th Jan 2018","5 - 6pm",19.0,1.0,99.1,98.2,18.1,SW,"Not Recommended",,
"Fri 5th Jan 2018","6 - 7pm",18.6,1.6,98.2,98.6,21.2,SW,"Not Recommended",,
"Fri 5th Jan 2018","7 - 8pm",18.3,2.0,99.6,98.4,20.0,SW,"Not Recommended",,
"Fri 5th Jan 2018","8 - 9pm",18.7,0.0,96.9,94.6,20.7,SW,"Not Recommended",,
"Fri 5th Jan 2018","9 - 10pm",18.8,0.0,56.5,91.9,20.7,SW,"Not Recommended",,
"Fri 5th Jan 2018","10 - 11pm",18.8,0.0,45.9,88.9,20.0,SW,"Extreme Caution",,
